Species_ayerbe,Species_bl,Total.individuals,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Forest_bin,Migration_avo,Migration_bb,Primary_diet,Diet_breadth,Habitat_breadth,Ecological_specialization,Clutch_min,Clutch_max,Clutch_mean,Gen_length,Elev_range,Iucn_red_list
Cyclarhis gujanensis,Cyclarhis gujanensis,69,18,11.1,5.8,9.2,22.8,76.2,11.2,64.9,14.8,64.1,28.8,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-35.49,23.65,-10.18,-58.3,13485715.12,Forest,Sedentary,Irregular,Invertebrate,3,4,0.9208187539523752,2,3,2.5,3.141201738,3400,LC
Myiarchus panamensis,Myiarchus panamensis,7,21.6,14.6,7.7,6.4,23,90.4,15.5,74.7,17.2,88.6,31.7,Woodland,Semi_open,Omnivore,Invertivore,Insessorial,0.97,11.39,8.02,-75.54,370862.95,Forest,Sedentary,Altitudinal,Invertebrate,2,4,1.0969100130080565,2,3,2.5,4.251732417,1500,LC
Coccyzus lansbergi,Coccyzus lansbergi,4,24.8,15.3,6,7.9,26.9,114.8,29,85.8,25.2,137.2,50.3,Woodland,Semi_open,Carnivore,Invertivore,Insessorial,-4.55,12.46,6.96,-74.26,326111.2,Forest,Long_distance,Migratory,Invertebrate,1,3,1.5228787452803376,2,5,3.5,2.627833854,1100,LC
Nemosia pileata,Nemosia pileata,18,13.9,9,4.3,5.2,17.2,68.4,13.8,54.8,20.2,47.4,16,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-27.81,12.46,-9.69,-55.17,8991826.24,Forest,Sedentary,Sedentary,Invertebrate,2,6,0.9208187539523752,2,2,2,2.870116565,600,LC
Icterus mesomelas,Icterus mesomelas,8,25.9,16.3,5.8,8.1,29.4,96.2,14.1,82.2,14.6,104.5,39.9,Woodland,Semi_open,Omnivore,Invertivore,Insessorial,-9.21,21.91,11.07,-82.84,995703.98,Forest,Sedentary,Sedentary,Invertebrate,3,5,0.8239087409443188,3,3,3,4.098724318,1600,LC
Tigrisoma lineatum,Tigrisoma lineatum,7,109.4,81.8,12.4,20.4,98.8,306.7,50.4,253.2,16.8,135.1,812.99,Wetland,Semi_open,Carnivore,Aquatic predator,Terrestrial,-36.04,15.16,-9.3,-57.78,13239678.28,Non-forest,Sedentary,Sedentary,Fish,3,3,1.045757490560675,1,3,2,6.532257883,1100,LC
Chloroceryle aenea,Chloroceryle aenea,8,31,24,5,6.5,7.9,55.9,13.6,42.4,24.2,34,13.75,Riverine,Semi_open,Carnivore,Aquatic predator,Insessorial,-26.19,21.62,-3.66,-63.82,9332280.13,Forest,Sedentary,Sedentary,Carnivore,3,5,0.8239087409443188,3,4,3.5,2.43010889,2700,LC
Campylorhynchus zonatus,Campylorhynchus zonatus,5,24,14.4,3.9,4.6,25.1,78.4,9.7,67.3,12.6,82,34.6,Forest,Dense,Carnivore,Invertivore,Insessorial,-0.91,21.15,13.05,-85.8,552668.86,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,3,5,4,2.497842179,2400,LC
Icterus auricapillus,Icterus auricapillus,5,20.9,13,4.4,5.7,21.6,92,19.3,70.9,21.4,90.2,32.2,Woodland,Semi_open,Omnivore,Omnivore,Insessorial,3.36,11.7,8.49,-72.09,405614.96,Forest,Sedentary,Sedentary,Omnivore,3,3,1.045757490560675,2,2,2,3.026823167,1800,LC
Micrastur semitorquatus,Micrastur semitorquatus,11,32,18.7,10.8,18.7,82.7,267.7,53.4,220.8,19.4,279.8,621.68,Forest,Dense,Carnivore,Vertivore,Generalist,-29.77,24.22,-6.85,-59.77,13182553.54,Forest,Sedentary,Sedentary,Vertebrate,1,2,1.6989700043360187,2,3,2.5,7.537974273,2100,LC
